Business Id,Business Name,Address,Take-out,Wi-Fi,Alcohol,Good for Kids,Parking,Good For Lunch,Good For Dinner,Good For Dessert,Good For Latenight,Good For Brunch,Good For Breakfast,Stars
eznh0XjVtv924K-KYx_ilQ,Restaurant,245 Waterfront Dr E Homestead Homestead PA 15120,1,0,1,0,1,0,0,1,0,0,0,3.0,
usSROUMiAgPcxV3Ym0OxMQ,Restaurant,185 W. Waterfront Drive Homestead Pittsburgh/Waterfront PA 15120,1,0,1,0,1,0,1,0,0,0,0,4.0,
CL3tZqbYT7B5zgewKCS6-Q,Restaurant,Kennywood & Hoffman West Mifflin PA 15122,0,0,0,0,0,0,0,0,0,0,0,1.0,
u22QDAON1kk0wjoTliyftw,Restaurant,4426 Kennywood Blvd West Mifflin PA 15122,1,0,0,0,0,0,0,0,0,0,0,4.0,
53Yk2EODWnV9qHQECzeHVQ,Restaurant,1842 Homeville Rd West Mifflin PA 15122,1,0,1,0,0,0,0,0,0,0,0,3.5,
iBZRphMDFcS2aMbawc1OvA,Restaurant,1822 Homeville Rd West Mifflin PA 15122,1,0,1,0,0,0,0,0,0,0,0,5.0,
r8BwdblCW-ZUES37BL0khw,Restaurant,719 Broadway Ave McKees Rocks PA 15136,1,0,1,0,1,0,0,0,0,0,0,4.5,
OZfpG8tDCcIEq8pzgZdyKw,Restaurant,6570 Rt 60 Steubenville Pike McKees Rocks PA 15136,1,0,1,0,0,0,0,0,0,0,0,3.0,
T49ZvBa6mD4xHSmjHe-ArA,Restaurant,421 Lincoln Ave Bellevue Bellvue PA 15202,1,0,1,0,1,0,1,0,0,0,0,4.0,
eOv0Dbq2E8sd0CKMAqTImw,Restaurant,531 Lincoln Ave Bellevue Bellevue PA 15202,1,0,1,0,1,0,0,0,0,0,0,4.0,
_jsJFrAmFVPRio0eEVExbA,Restaurant,4557 Ohio River Blvd Bellevue Pittsburgh PA 15202,0,0,0,0,0,0,0,0,0,0,0,2.5,
Lml0-yTNsMYsP9IrSMxw9A,Restaurant,610 Lincoln Ave Bellevue Bellevue PA 15202,1,0,1,0,0,0,0,0,0,0,0,2.5,
QVZBd_eu0oJ4IN0md2XPTQ,Restaurant,565 Lincoln Ave Bellevue Bellevue PA 15202,0,0,1,0,1,0,0,0,0,0,0,5.0,
udZJ8YgsHdqtFDQkyPTV1Q,Restaurant,4260 Ohio River Blvd Bellevue Pittsburgh PA 15202,1,0,1,0,0,0,0,0,0,0,0,3.0,
ucKQlQvOeJxETLNkpKcaSw,Restaurant,560 Lincoln Ave Bellevue Bellevue PA 15202,1,0,1,0,1,0,0,0,0,1,0,3.5,
ZL6DNzyenFm9Kpz6uADlNg,Restaurant,6738 Reynolds St Point Breeze Pittsburgh PA 15206,1,0,1,0,1,0,1,0,0,0,0,2.5,
OcTG-KzDleuRub-pb6JS3Q,Restaurant,1744 Chislett St Morningside Pittsburgh PA 15206,1,0,0,0,0,0,0,0,0,0,0,4.0,
Y2p07YEC8xOsYTHWf0UxiA,Restaurant,213 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,0,0,0,0,0,3.0,
g58NW9q4F09wTMiI7EIjmg,Restaurant,420 N Highland Ave East Liberty Pittsburgh PA 15206,1,0,1,0,1,0,0,0,0,0,0,3.5,
Pu5uzlZ05pqVlx6LcZbfgw,Restaurant,226 Shady Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,0,0,0,0,0,3.0,
83_p9vIqOq1TUIf3_GD7bA,Restaurant,1125 N Highland Ave Highland Park Pittsburgh PA 15206,1,0,1,0,1,0,0,0,0,0,1,4.5,
Ts4xsKPU7FNPPZRj-nRjIg,Restaurant,216 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,1,0,0,0,0,3.0,
UtWJ8NGMg-3z28s0RzlUoQ,Restaurant,6393 Penn Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,0,0,0,0,0,3.0,
bZcqORBnVApUA2-SEn7VEQ,Restaurant,6361 Penn Ave Shadyside Pittsburgh PA 15206,1,0,1,0,0,0,0,0,0,0,0,2.0,
B9C6j80ob0f1pwi1Cnnd1Q,Restaurant,217 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,1,0,0,0,0,3.0,
tvXTHj9V5sgRoeVJW_FiTg,Restaurant,5700 Centre Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,1,0,0,0,0,3.0,
2SwC8wqpZC4B9iFVTgYT9A,Restaurant,229 S Highland Ave Shadyside Pittsburgh PA 15206,0,0,1,0,1,0,1,0,0,0,0,4.0,
PzG0XmAmtXFs6Fdnubf41g,Restaurant,5430 Penn Ave Bloomfield Pittsburgh PA 15206,1,0,1,0,1,0,0,0,0,1,1,4.0,
lHP5STO7aomlEQixH8m1aA,Restaurant,258 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,1,0,0,0,0,4.0,
-iVcmhjfq79QoTWzrb6pKg,Restaurant,7516 Meade St Point Breeze Pittsburgh PA 15208,1,0,1,0,1,0,0,0,0,0,0,4.5,
l_Wey2YC6NvVUIH8vTygGg,Restaurant,238 Spahr St Shadyside Pittsburgh PA 15232,1,0,1,0,1,0,1,0,0,0,0,4.0,
W7-Ybhe6JWJFXjcbmgvdyA,Restaurant,243 Brownsville Rd Mt. Oliver Pittsburgh PA 15210,0,0,0,0,0,0,0,0,0,0,0,3.0,
qUeBDN0D8SC93KeAHhiL-g,Restaurant,804 E Warrington Ave Allentown Pittsburgh PA 15210,0,0,1,0,1,0,1,0,0,0,0,4.5,
YXuvFMtygHPFEOEXgRtgLQ,Restaurant,823 E Warrington Ave Allentown Pittsburgh PA 15210,1,0,0,0,0,0,0,0,0,0,0,2.5,
LltDzuzRbAJbSrqD4JH-3A,Restaurant,2158 Brownsville Rd Carrick Pittsburgh PA 15210,1,0,1,0,0,0,1,0,0,0,0,3.0,
VkqKyq09rDYMhFk5nElWWA,Restaurant,2104 Brownsville Rd Carrick Pittsburgh PA 15210,1,0,0,0,0,0,0,0,0,0,0,3.0,
QIJa5h2d65Bgh82zct7c7A,Restaurant,2209 Saw Mill Run Blvd Overbrook Pittsburgh PA 15210,1,0,1,0,1,0,0,0,0,0,1,4.0,
PTkChuI3GPCw-ZL1Iph76A,Restaurant,2080 Saw Mill Run Blvd Brookline Pittsburgh PA 15210,1,0,1,0,1,0,1,0,0,0,0,3.5,
BbIh5NTizhV4Fq_mLmNkpg,Restaurant,2417 Brownsville Rd Carrick Pittsburgh PA 15210,1,0,1,0,0,0,0,0,0,0,0,1.5,
IxQ1ATP_Wg_QujO9nywzcQ,Restaurant,537 Suismon St North Side Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,4.0,
TyIsuojeKcTb4Acfg7xqew,Restaurant,630 E Ohio St North Side Pittsburgh PA 15212,1,0,0,0,0,0,0,0,0,0,0,4.0,
oj8bMz76cKXQClpFTFNW9w,Restaurant,539 E Ohio St North Side Pittsburgh PA 15212,1,0,1,0,1,0,0,0,0,0,0,5.0,
k1A8pNspBPinGDivxkuDSA,Restaurant,503 Martindale St North Side Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3.5,
-nO_qj9eP-os3baYyh8eNA,Restaurant,1106 Federal St North Side Pittsburgh PA 15212,0,0,1,0,0,0,0,0,0,0,0,3.5,
Z7HNl4Gz00cA0_wt0S-vSw,Restaurant,2110 Brighton Rd North Side Pittsburgh PA 15212,0,0,0,0,1,0,0,0,0,0,0,4.5,
OjzR6hUYasFReo0vhVn0-w,Restaurant,857 Phineas St North Side Pittsburgh PA 15212,0,0,1,0,0,0,0,0,0,0,0,4.0,
6AnorAMPkTdSDbUkOoV1Rw,Restaurant,1720 Lowrie St Troy Hill Pittsburgh PA 15212,0,0,1,1,0,0,0,0,0,0,0,3.5,
rEKBr81s19Soh3dYj4bcGQ,Restaurant,1219 Federal St North Side Pittsburgh PA 15212,1,0,0,0,0,0,0,0,0,0,0,3.5,
q_BKmbdlYfQJroJVHfYMUQ,Restaurant,500 E N Ave North Side Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,4.0,
vMCCvnDU-Iz_D_pmbcMqzA,Restaurant,410 E Ohio St North Side Pittsburgh PA 15212,0,0,1,0,0,0,0,0,0,0,0,2.5,
hUV4bjXE8Ijd-pDNr8S6mA,Restaurant,1110 Federal St North Side Pittsburgh PA 15212,1,0,1,0,1,0,0,0,0,0,0,4.5,
Z101WZaISochG6g7tI2ZVw,Restaurant,103 Federal St North Side Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,3.0,
Eixtf79t1_ZKaC-7J2kAWg,Restaurant,424 E Ohio St North Side Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3.5,
Z0OGW8PysysRXE0dR7QxQQ,Restaurant,700 N Taylor Ave North Side Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,4.0,
I9-Ei8_KYtMjbixNJSCvwA,Restaurant,537 E Ohio St North Side Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3.5,
URGZtJhOCrbJ8-RkLvslOg,Restaurant,120 Federal St North Side Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3.0,
yfuoL_w76WFVHcGJbw0IIg,Restaurant,1276 Benton Ave Brighton Heights Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3.0,
YUZVBdGmagwXV-yOhR-1GQ,Restaurant,3853 California Ave Brighton Heights Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,2.5,
OIL-eZX8d10jgWPLW-E7zA,Restaurant,3627 California Ave Brighton Heights Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,3.0,
PSlOtPIo28BvWOzdLmRRRQ,Restaurant,1439 Potomac Ave Dormont Pittsburgh PA 15216,1,0,0,0,0,0,0,0,0,0,0,3.0,
wan0X-oHpLgGTPXqaICZCw,Restaurant,1648 Broadway Ave Beechview Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,3.5,
QnyzlVMyx0Exri-Lay10cA,Restaurant,297 Beverly Rd Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,3.5,
81sqVj0xHyJXGYT0ip5fmQ,Restaurant,300 Beverly Rd Pittsburgh PA 15216,1,0,1,0,0,0,0,0,0,0,0,2.5,
m61vZsAxmTEq3uiCjFjM8Q,Restaurant,2937 W Liberty Ave Dormont Pittsburgh PA 15216,1,0,1,0,1,0,0,0,0,1,1,3.5,
93UCt9OgWYmypZCpXtUu8g,Restaurant,1473 Banksville Rd Banksville Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,3.5,
ORTRrw3ClZ0Ld0LgY1H_5g,Restaurant,2874 W Liberty Ave Dormont Pittsburgh PA 15216,1,0,1,0,1,0,0,0,0,1,1,3.5,
9aw0t0rlACKkMaxsX0KlKA,Restaurant,1691 McFarland Rd Pittsburgh PA 15216,1,0,0,0,1,0,0,0,0,0,0,4.0,
5Udv4CASAXB2eH66TefWPQ,Restaurant,3239 W Liberty Ave Dormont Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,4.0,
2Igiyhi82R8_QaaPplRmCw,Restaurant,1430 Potomac Ave Dormont Pittsburgh PA 15216,1,0,1,0,1,0,0,0,0,0,1,4.5,
Cex2R008tMFg8R5fAtf77w,Restaurant,1509 Potomac Ave Dormont Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,3.5,
n7G2XFGvmS3duDJ4AzjKiQ,Restaurant,1150 Banksville Rd Banksville Pittsburgh PA 15216,1,0,1,0,1,0,0,0,0,0,0,2.5,
8tBfgYCI6Fz9xrSYCYCYXA,Restaurant,1150 Banksville Rd Banksville Pittsburgh PA 15216,1,0,1,0,1,0,0,0,0,0,0,3.0,
Tb7hQ37UFA2QFaMwjFieQw,Restaurant,1378 Banksville Rd Banksville Pittsburgh PA 15216,1,0,0,0,0,0,0,0,0,0,0,2.5,
qemCNgjeYGcFsRwxW9x4xw,Restaurant,307 Beverly Rd Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,3.5,
iudRNo5Q8W7firUBYJEqQQ,Restaurant,303 Beverly Rd Pittsburgh PA 15216,1,0,0,0,0,0,0,0,0,0,0,2.5,
2X5G4Ujq0s4Wfn4TC7gX0g,Restaurant,1118 S Braddock Ave Pittsburgh PA 15218,0,0,1,1,1,0,1,0,0,0,0,4.5,
XQ7elqSFIRogvqpiTZz-Wg,Restaurant,1100 S Braddock Ave Pittsburgh PA 15218,1,0,1,0,1,0,1,0,0,0,0,3.0,
JL5B_s1EoN4zIru4JSw4Qg,Restaurant,1603 S Braddock Ave Pittsburgh PA 15218,1,0,1,0,0,0,0,0,0,0,0,3.5,
IafkUjO5CiXAu9LfB4_Sgg,Restaurant,1918 Monongahela Ave Pittsburgh PA 15218,1,0,1,0,0,0,0,0,0,0,0,5.0,
OS1fGOcx_Erie5gujWIFNQ,Restaurant,7400 Church St Swissvale PA 15218,1,0,0,0,0,0,0,0,0,0,0,3.5,
DzOPHyrG2XuVqKEvHCnN7w,Restaurant,2122 Monongahela Ave Pittsburgh PA 15218,1,0,1,0,1,0,0,0,0,0,0,4.5,
nqRNOug4OMrYTTZg-qLxXA,Restaurant,7520 Washington St Swissvale PA 15218,1,0,1,0,0,0,0,0,0,0,0,4.0,
K8Ebs8G1rwc3DBdznHvDxg,Restaurant,1703 S Braddock Ave Pittsburgh PA 15218,1,0,1,0,0,0,0,0,0,0,0,3.0,
h3la53L9-OX_HlfeAySh0Q,Restaurant,Edgwd Towne Ctr Pittsburgh PA 15218,1,0,1,0,0,0,1,0,0,0,0,2.5,
1vQLTKwmcmZXtNzfKEvMmA,Restaurant,2100 Greentree Rd Pittsburgh PA 15220,1,0,1,0,1,0,1,0,0,0,0,3.5,
hhNlQWaKqGbMPoeZHoL-IQ,Restaurant,2101 Greentree Rd Pittsburgh PA 15220,1,0,1,0,1,0,1,0,0,0,0,3.5,
SgQYRICpMdWCmY7wM2Cmcw,Restaurant,1910 Cochran Rd Pittsburgh PA 15220,1,0,1,0,1,0,0,0,0,1,0,2.5,
uwiD9jxs09xxXG0by_xKuA,Restaurant,1644 Cochran Rd Pittsburgh PA 15220,1,0,0,0,0,0,0,0,0,0,0,3.0,
mrbfnIXD5U4pMxuZgKedOw,Restaurant,1717 Cochran Rd Pittsburgh PA 15220,1,0,0,0,0,0,0,0,0,0,0,3.0,
sNmQJQWEVGheCnw5Tf4Phg,Restaurant,1900 Greentree Road Pittsburgh PA 15220,1,0,1,0,0,0,0,0,0,0,1,4.0,
jrSGpWnVJy8jqgN6XSC7Nw,Restaurant,1006 Greentree Rd Greentree Pittsburgh PA 15220,1,0,1,0,0,0,0,0,0,0,0,4.0,
KZXtzoI84iI1CEcAnD7OPA,Restaurant,333 Mansfield Ave Greentree Pittsburgh PA 15220,1,0,1,0,1,0,1,0,0,0,0,3.5,
zpNGtjBlIkDq_PLGSCPlAg,Restaurant,971 Greentree Rd Greentree Pittsburgh PA 15220,1,0,1,0,1,0,0,0,0,0,0,3.5,
ZS7-I04iDm4oRP_GJsJqrA,Restaurant,978 Greentree Rd Greentree Pittsburgh PA 15220,1,0,1,0,1,0,0,0,0,0,0,4.0,
FtjvnLhh51ZBYEpKAARaFQ,Restaurant,203 Federal St North Side Pittsburgh PA 15212,1,0,1,0,1,0,1,0,0,0,0,3.0,
z4cCguoHdU48pj6sXMIzqg,Restaurant,1001 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,2.5,
sbTF0cLKZH6_BP8BLARVDg,Restaurant,123 7th St Downtown Pittsburgh PA 15222,0,0,1,0,1,0,0,0,0,0,0,2.5,
OxIeMVcop5oxBUWANi-1Rw,Restaurant,140 6th St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.5,
imzKM9-mgN1Yk_RIXx3IgA,Restaurant,1901 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.5,
IEHaU93HpEbdUO4z4bKzDw,Restaurant,100 24th St Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,1,3.5,
NeUf9FyCCIN4MEseNyqkXQ,Restaurant,2 Market Sq Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.5,
JcP-IIrZkW_Yyv4a0yLRCw,Restaurant,305 7th Ave Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.0,
4LcFKTr6Ah87VcxW2z5e6w,Restaurant,608 Wood St Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,1.5,
buVALudg30kgkDusqB3yJw,Restaurant,2023 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,4.5,
wHi8ODv7TGmeUB02XoX-mA,Restaurant,1904 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,2.5,
WXpi9z1bqF9raZSW8z70Ow,Restaurant,133 6th St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.5,
j7kgLc4Uys_sb-H7_Velcg,Restaurant,1001 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.0,
DhDNNHZtaBxYNSqJz64ixg,Restaurant,4 Market Sq Downtown Pittsburgh PA 15222,1,0,0,0,0,0,0,0,0,0,0,4.5,
PxP19Rb88OQKiSMl2oWNsg,Restaurant,130 6th St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,3.0,
9mwShpTgZofOujt4JfyGmw,Restaurant,2601 Smallman St Strip District Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,2.5,
90Fqfzd8zD9AuuNBSv9lAg,Restaurant,625 Liberty Ave Ste 180 Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,4.0,
KEzIorUdFjqCuxbRxKPghA,Restaurant,433 Wood St Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,4.0,
pvGT62T6Ci1LKOS9DL42pg,Restaurant,12 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,4.0,
OT3yVpDrDVITDCIYox8d9A,Restaurant,20 Stanwix St Downtown Pittsburgh PA 15222,1,0,0,0,0,0,0,0,0,0,0,3.5,
8AskFIgGxqNb8RbcDCAfmA,Restaurant,441 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,4.0,
A2XkbJ07hrR80t0EFgLikQ,Restaurant,639 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.5,
L5387MoRyx9orlRyYfCSPA,Restaurant,1711 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,4.0,
dHDi4wCcjsOR6vcZ8oOIoA,Restaurant,1241 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,3.0,
41CXLCeB8z2oNdIOvnrzIA,Restaurant,100 Waterfront Dr Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,2.5,
l2gPB9mqiHSbpwSUa7zrjg,Restaurant,139 7th St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,2.0,
gfpl_GyyY5uj6zJnIdzImQ,Restaurant,120 5th Ave Ste 2 Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.5,
l-OmDgEd4QkZpyXVpkp2yA,Restaurant,628 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.0,
0FgwBx7pgmNdUtsd_T8UYQ,Restaurant,6 PPG Pl Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,4.0,
SzHTdZR3yY1WBYUxkVxmUQ,Restaurant,212 Blvd of the Allies Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.0,
xgcZN3F2f9LxLASQK_xzhw,Restaurant,2840 Smallman St Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,4.0,
_aGVicux2dJm9sqzLSCJtg,Restaurant,703 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.5,
uUorjstNslr3gkIsVGtQAg,Restaurant,630 Stanwix St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,3.5,
GSiHJG8LqTn5ZQAY1r9q9w,Restaurant,957 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,1.5,
0Lsd35rHY6UtPFHjjxJ1LA,Restaurant,24 Market Sq Downtown Pittsburgh PA 15222,0,0,1,1,0,0,0,0,0,0,0,2.5,
Bza-l75OiKcMRmTYILpyfQ,Restaurant,626 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.0,
-TSFapUMwdyyxoi2egkOhw,Restaurant,420 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,2.5,
1E53rS8afK2jiLod8Jwy7A,Restaurant,525 Penn Ave Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,2.5,
j0uzPYXgu-hmkvuGnj-B1w,Restaurant,923 Penn Ave Downtown Pittsburgh PA 15222,0,0,1,0,0,0,0,0,0,0,0,3.5,
AH1PrZQDIdjpKgy1z8XxUg,Restaurant,400 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.5,
XmdTkxKyJd7TuDLoiic1kg,Restaurant,1400 Smallman St Strip District Pittsburgh PA 15222,0,0,1,0,1,0,1,0,0,0,0,3.5,
HDTv_rnmSL8AQ04_zTWARA,Restaurant,1400 Smallman St Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,2.5,
nBl_NeArpL08MpoghDiA_A,Restaurant,219 4th Ave Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,4.0,
J011r7mUV1QhgLJ7GkrtMw,Restaurant,1721 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,4.0,
-KQ283hJkBO12u8XOrlCcQ,Restaurant,20 Market Sq Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.0,
SvoJ3Y3uqDfB4iGUaWXh8Q,Restaurant,823 Penn Ave Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.0,
6xEl2PDJulIp1PfWqa7-aA,Restaurant,2329 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,3.5,
GQloL8yRHymE0SGZq-B0zQ,Restaurant,2120 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,0,1,0,0,0,0,0,0,3.0,
Lm_mR5xDF91OeZw97ch41g,Restaurant,124 6th St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,2.5,
aj4XHn7jZ48euP4g8ape-Q,Restaurant,10 Market St Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.5,
KnlNwiIELDWAR686Bk2WJg,Restaurant,4506 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,1,0,1,0,0,0,0,0,0,3.5,
XzaJf6WzpU7RsXTXzx72Xg,Restaurant,5242 Baum Blvd Bloomfield Pittsburgh PA 15224,1,0,1,0,1,0,1,0,0,0,0,4.0,
PTS4MxQel-xzj5qWxVn3LQ,Restaurant,4766 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,1,0,1,0,1,0,0,0,0,3.5,
